gene,HL60,MCF7,K562,A2780,A549,SKOV3
GNAS,8.289186869,11.24206549,8.778621673,9.433610329,8.969174412,10.03473214
NCOA3,1.11582653,7.610564709,4.066036723,2.668202794,5.72567183,4.580860893
NOTCH1,2.806616392,2.658010457,2.712966236,2.882056259,1.617096795,3.690839513
FOSL1,0.805294459,0.389486846,2.802206296,0.59648902,4.598366317,5.835167305
DCK,3.920961267,3.673399293,4.710136521,4.475654333,4.352987647,5.127931273
MBOAT7,3.488257327,7.07665702,5.402747901,5.246803912,5.519905268,5.94852579
TMED10,5.331219685,9.864070477,6.325300179,7.408792517,7.465057864,7.707621637
ITGAE,4.025330313,5.955967803,4.780902072,5.013431718,6.701958885,5.328417347
NOSIP,5.642028751,6.055366029,5.933732193,5.623165138,5.385597674,7.595572915
RUVBL1,5.594147053,5.93982895,5.45927311,7.32945345,6.329252518,6.070177364
RGS2,1.655171861,0.263739119,2.975815598,8.807190341,4.438572341,1.773398082
FKBP4,5.213351822,6.794872122,4.844412056,6.973809043,6.756333808,4.628545454
IDE,2.720280878,4.180385434,3.816120775,3.99888278,4.533406789,3.661997033
CD320,3.926976811,5.303560729,4.95258389,6.232186539,5.232159936,5.18312322
EAPP,4.234154417,5.845763473,4.454173349,4.896397221,5.253848327,5.174236995
POLR2I,7.448940925,7.631299038,6.713580455,7.287524722,7.87912499,7.107199002
MACF1,4.252923843,4.107454877,6.485014408,5.444520623,5.560986118,7.217661434
APOE,1.295554034,2.619700695,8.602440862,7.837334879,2.628914407,0.998860983
ST6GALNAC2,0.341415376,3.773232878,0.047688391,0.341415376,0.294367102,1.704602209
TUBB6,4.327328072,5.807220922,6.426952242,7.147560959,6.583212685,8.128513161
PLP2,5.684710026,7.090944139,6.997283716,5.554989133,7.909170193,7.542691524
RPA2,5.887622994,5.550806321,7.237634943,6.874934722,5.371102584,5.58667804
ZNF395,2.301389094,2.340994432,2.922947572,4.543052881,1.995913642,5.718366144
POLE2,4.619681215,3.667734385,4.235436708,4.498702732,4.329856828,4.212280584
SRC,0.463925606,2.451374997,2.727726184,3.966299987,5.909022516,4.574641933
FPGS,5.37857383,5.163426431,4.615090842,4.905974922,4.299129258,6.411256488
USP7,4.575079795,5.457221564,5.252504582,5.669024088,5.64725503,5.859678167
ABCB6,0.52679398,4.973329777,3.557581075,4.578494328,4.904046447,4.102914261
PHKA1,-0.139146668,2.891247749,3.113847485,3.683234557,4.235241705,2.996396797
ZNF131,5.028239854,4.429561705,4.904723274,4.320574506,4.212878314,5.044165931
XBP1,6.915827451,9.275275114,6.779478596,6.397413112,5.204837263,5.832243143
CDK6,3.78448277,0.274239269,4.151954007,0.106384625,3.332191452,2.866890951
SLC2A6,0.044526388,1.974478375,0.03307485,2.703376499,3.499811419,3.024842445
LGALS8,3.696873785,5.40789595,5.960259725,2.070649788,4.293709522,3.950341017
SLC35B1,6.084028271,7.216424714,5.642121677,5.80909203,6.807551822,5.758157796
SMC3,3.997136231,4.363494033,5.060744031,5.354958027,5.534577049,5.110440508
TXLNA,4.043388717,4.197059358,5.531682456,5.391218898,3.767652248,5.396190885
PAFAH1B3,3.113702363,6.247350575,5.055991645,6.878272199,6.235099421,5.795479767
DRAP1,6.931299583,7.47604869,6.602824584,7.260755813,7.067731622,8.252935997
CD58,2.373072165,3.95007976,5.056997734,3.617510794,4.592285169,4.422177128
PCCB,4.872196391,5.76667061,6.538986662,6.082708681,4.288698499,4.896430546
DENND2D,0.587885991,4.416475543,-0.025011856,-0.066419944,1.204833694,2.844877363
LYPLA1,4.183832114,6.217592128,7.136746183,6.230643353,6.393271103,6.179263873
ICMT,3.777891424,4.824718626,4.884964024,5.43517153,5.323112021,6.180262723
RHOA,8.254739174,7.807828316,8.231604474,8.846281976,8.973318325,8.868066313
PHKG2,4.655527402,5.464280717,4.454852081,4.751708553,4.029664043,4.739253633
CCNF,2.464005641,3.37272608,4.035110746,4.267140313,2.922213044,3.973887873
DDX42,5.662138152,7.221893683,6.080166088,6.383405904,6.506815101,6.248631924
PTPRK,0.031431194,5.666727717,-0.033845329,0.288249861,3.755650624,5.545106442
DNAJB6,5.332143106,6.826766038,6.962175244,6.786480927,6.577041586,6.469000966
EPHB2,-0.006136306,1.178741251,0.140893951,0.634258428,3.943688978,3.997654297
COG2,3.416858419,4.255529404,4.198555288,4.803390425,4.454155501,3.431824141
PYGL,5.34749288,4.395237524,5.433293373,6.333744099,6.320543864,7.456305417
HYOU1,5.558426144,6.890519807,8.118510369,7.126465799,4.665723624,6.66794224
FASTKD5,3.550842164,3.177167833,3.356413838,4.227461961,5.064047503,4.426626886
PTPRC,2.609130786,-0.007778948,5.79567374,0.045984952,0.00585528,-0.021546195
KLHL9,1.429920515,2.809566185,0.016140457,3.275373929,3.85821924,3.251484618
FOXO4,1.590539753,2.114899765,3.870142799,2.407133318,0.835724817,2.174997708
TXNRD1,4.962863352,5.209040643,6.449270573,5.952177367,9.833242656,7.637490615
PPARG,1.16402826,0.8757308,-0.054862309,0.054928661,4.725039717,4.498362895
NFKB2,1.820611821,3.527462667,4.458578096,4.26326682,5.134749321,4.105008404
TRIM2,0.226075077,0.551886596,0.541807047,2.209574663,0.825252299,5.380235272
SYPL1,5.205304714,6.491088005,6.359793829,5.681193108,6.773837088,5.965237371
KIAA0100,4.413075844,5.755024577,5.288387111,5.548279651,5.562589044,5.915288442
BNIP3,3.035532237,4.754697107,5.173431877,5.9464932,4.776170315,4.357324535
CSK,5.769618101,5.775977528,4.938325822,5.647737416,4.905943429,5.445213104
KLHL21,2.930553156,2.54421385,4.318199124,3.908381476,2.225672387,3.307652481
PAICS,6.481381362,6.476971527,7.660741423,7.601331762,7.339360491,7.220641054
TP53BP1,2.437349453,3.853956709,4.407849479,5.440342962,3.709945829,5.749707922
TRIB1,5.44364958,3.37039899,2.135058769,1.836752563,3.058288077,4.031459894
TXNL4B,3.237503016,3.76502174,4.075729887,3.753038561,3.787652255,3.365115486
BACE2,0.673449211,2.270778821,0.3755013,0.101177561,3.488791013,5.835011828
SMAD3,1.556460169,3.786123496,3.752239765,2.789301858,5.932100452,5.216869293
PRR7,2.252899775,3.383779317,0.969241128,3.135543301,0.231836038,2.304732915
HES1,0.174335294,5.555168932,5.664666082,3.421511295,2.287288214,4.724271993
MBTPS1,5.102019523,7.009318612,5.721307028,5.554070963,5.120637001,6.177764095
PCK2,1.79128191,7.470403856,6.949928221,7.338518242,3.992846267,3.662223334
EZH2,4.768824466,4.933132846,6.69875114,5.429300507,4.363569174,4.607693098
MRPS16,6.093477887,6.447299239,6.668710916,6.225163366,6.651680763,6.284437831
SYNE2,0.134141049,4.196094065,0.943697861,3.04871471,2.786601237,5.614335176
MLEC,5.609273374,6.468068984,5.991183699,6.538954961,6.887640358,6.660161841
OXCT1,4.073225574,3.90093235,5.367068499,4.768910035,1.598220257,4.130394989
RFC2,5.301554036,5.753268712,6.555886518,6.053400564,5.530943127,5.49767688
PSMB8,6.40403628,-0.016413795,2.652125478,2.983801867,3.513205051,7.122070625
IGF1R,1.983140715,5.31760821,0.994012065,1.124442297,4.369075458,3.611131478
FKBP14,1.637324773,2.449693294,3.968065409,3.903353209,3.378007113,2.125765718
EIF4EBP1,7.394047126,6.391701438,7.925667668,7.97407923,6.661634367,6.014560383
CSRP1,4.720576129,7.840649058,4.933130938,0.156632739,8.747244681,7.626212263
TSC22D3,3.303216569,5.784950348,4.008340424,4.22283248,3.471922787,4.737188879
GFPT1,1.792054043,4.833076903,6.366473774,3.972891562,5.496061875,5.438084082
FDFT1,5.690899917,6.945119264,9.067846037,6.929422019,6.58446683,7.900143861
HMGA2,0.071996577,0.031603119,0.04519325,8.794328884,3.191872143,3.821653206
GSTM2,2.220463255,0.932161056,3.98605022,4.97834678,2.56936316,2.842765698
UBE2C,6.507761562,7.125073163,0.232242255,7.712294518,7.187797367,7.586765251
NT5DC2,4.254510833,5.229578844,6.426761972,6.881892725,5.114340541,4.101203226
CDC42,6.616242808,7.056123422,7.603312063,7.516989501,7.448360659,8.480701585
KIF2C,4.090973309,4.182579446,7.428146241,5.560793239,4.468930698,5.691430196
ETV1,0.198724546,0.049443185,4.105066177,3.69087216,1.152495276,0.803821202
MYO10,1.201058803,2.43527225,0.177435028,0.030915221,5.356227937,4.672083503
PDS5A,3.781293211,4.426910766,5.314546341,4.990740802,5.035153825,5.699283711
MPZL1,3.098000673,3.284874663,5.599297504,6.160010304,6.213133281,5.930499635
CASP3,3.366791375,2.28378344,4.746162737,4.970979433,4.188319511,4.991264836
AKT1,5.746301706,7.287356609,5.803625011,6.82019706,5.359794145,7.321603817
EDEM1,3.584055247,3.687218797,5.335128255,3.633229162,3.830731012,4.238358275
SSBP2,2.351630242,4.224661703,5.147021215,5.651742093,3.064467726,4.482685051
MFSD10,7.897822241,5.667938636,4.276261008,4.933111601,4.571068647,6.018114069
PUF60,5.633095662,7.619000763,5.923736836,7.057435118,7.052600361,6.759216402
BCL7B,4.241963021,5.154824086,5.22324254,5.432085513,5.155935579,4.532179778
TIPARP,3.354426284,2.72466645,4.61249836,3.432767417,4.207758478,3.263339731
ZW10,2.542806982,2.755863931,4.030221204,4.230145273,3.766328032,4.058881276
CEP57,4.35142637,3.235964319,5.998087556,4.887508033,4.015353355,5.20094838
SLC25A14,3.291207947,4.242215589,4.002898591,2.98901556,3.860727958,3.465594045
PPARD,0.633637265,3.203885677,3.471218454,3.500281977,1.764522735,3.688746855
DUSP11,3.521939568,4.402487207,5.151947807,3.650009535,5.212861185,4.607667893
PIK3CA,2.365908005,2.591527177,3.860464281,3.710369702,2.636630382,3.580588342
CLSTN1,4.276660674,5.504918789,4.622518344,5.819569623,5.298150992,6.836432869
DDIT4,3.890021967,6.696008333,9.858744101,7.253200553,6.317474559,5.655013999
UBE2J1,4.870283611,3.948011728,4.640545547,4.488793939,3.989865928,4.296950129
CEBPD,4.390780361,2.650516555,2.482402568,2.72037064,1.744137791,4.75210941
PPOX,3.260007973,2.979367955,4.889175215,4.099433796,2.599797443,3.583724001
TSPAN6,0.267867969,2.513906596,0.147102088,5.966281921,4.610666452,4.275360192
PNP,7.414315282,6.482366153,6.063938921,6.018204329,6.584580538,7.335928763
RBM6,5.922194441,4.94841581,5.250354808,5.524453763,4.180815911,5.159477331
HOXA5,-0.082396764,1.373996132,-0.068980614,0.094568271,1.901934438,1.835800004
HS2ST1,2.123644601,3.104432283,4.312630075,4.325113171,3.852283055,3.008147857
TFAP2A,0.285172272,5.314348044,0.498626467,0.110766638,3.268193175,5.511501631
KIF5C,0.280264645,2.449732672,0.325459358,0.268734419,0.502762923,0.369241502
KIT,2.967182806,0.067908815,0.904426964,0.110931613,0.038525039,4.852563628
TBC1D9B,4.222586119,6.206452183,4.733526459,5.707849041,4.775736662,6.478999176
NFKBIE,4.582900764,2.410445504,3.380486662,2.410445504,2.9628199,2.932065024
MMP2,3.461068412,0.234171998,0.234171998,0.552927447,2.99702502,6.866247279
GNPDA1,5.055554581,4.526887929,5.383721842,5.789087956,5.006668623,5.728642552
GALE,4.21535745,4.927500933,6.124261798,5.238434064,4.899078872,6.742637093
CBR3,0.32065941,3.185978975,0.107011887,1.731197144,2.692075638,3.01353251
MVP,1.091255679,3.799958708,1.415410323,3.026505226,5.465492875,6.857120813
COL4A1,0.591518729,0.183300381,0.14105832,0.210790115,5.92405106,7.945152884
E2F2,1.874868079,2.247060011,3.428057759,2.866926736,1.246133651,2.115235835
MEST,2.915742475,5.559645227,0.693808782,11.19282543,5.106987867,2.543354879
PMAIP1,3.103074748,2.005361085,5.570055777,1.47920449,3.644069758,5.571330881
ACOT9,3.61409714,4.256800531,4.979012939,4.758970442,6.299871046,5.073073185
DCUN1D4,3.095551647,4.087626808,4.478780712,3.806499999,3.945546293,4.522221164
SNX13,1.595512842,3.174286213,3.377647875,2.990247772,3.562585837,2.290521854
GPATCH8,1.437753078,3.303696382,3.856980422,4.475665496,3.608155788,4.597782851
SLC35F2,4.094596886,3.092854035,4.657518045,3.542048125,5.024509139,4.906429947
GNA11,0.142066673,3.90504134,3.867988515,4.546094178,3.626302442,5.600935578
DLD,4.142751911,7.445178904,8.187830356,6.518742221,7.270048954,5.310203975
SQSTM1,5.45697382,7.238426747,7.493823187,5.63980947,8.454982089,8.462518349
CDK4,7.328230746,7.336740405,7.804548552,8.383926379,7.575882913,7.314633592
MYC,8.723386899,5.202348814,6.611989186,6.672070694,6.09469776,5.392732845
JMJD6,3.982826641,4.260491945,4.945066461,4.856066333,5.552300405,4.606758453
CDKN1A,1.313507569,7.351038968,3.619467451,4.78432144,6.531087274,2.73299971
SMARCA4,6.389069558,6.605056961,6.226665822,7.28627419,2.667988662,6.567932093
SPDEF,-0.036159307,5.539533796,0.011699338,-0.060790243,1.25544082,0.155731716
JADE2,1.225304388,3.809792997,1.949697011,2.808568714,3.202950949,3.998637963
FCHO1,3.120504221,2.85510801,5.112179155,4.101343205,2.682994045,2.021651602
FBXO7,5.444130206,5.667125194,5.837539492,6.294439344,5.730727746,6.378450475
GATA2,3.037974122,3.356793601,6.090807925,3.761166582,1.057617604,2.628683915
UGDH,2.116833246,5.245867563,4.913101774,5.227794828,8.098147936,7.145308399
BAMBI,1.671909291,6.15063329,3.194695517,0.004257532,4.301171222,3.94589158
KTN1,5.358119959,6.2895677,5.451464782,6.361939774,7.795370263,7.883569847
PSMF1,5.072313556,5.82652519,5.281413188,6.349995385,6.593887746,6.537825566
CDK2,4.103692163,5.822435228,6.50736928,5.762947998,5.804594334,5.298236061
NFKBIA,4.510046423,5.172338592,4.088053381,4.477844993,5.617259023,5.923037439
LYRM1,3.44481402,4.381131873,5.818150745,4.778577361,4.79717219,4.643373965
EXOSC4,5.261386857,5.990770978,4.67805381,6.017820566,5.158354232,4.710654674
MTERF3,4.426287847,4.334733143,4.290272908,4.769263417,5.127824442,4.836124899
CSNK1E,4.336027768,5.223377447,5.52532231,6.69863314,4.616369229,6.30067567
KDM5B,3.702919524,5.437468942,5.107676504,5.532568628,3.847756696,4.552359752
CFLAR,4.337912746,4.249112999,4.987989256,4.030229901,6.125475216,4.990461773
PLA2G15,1.518605562,3.430287199,3.252088924,2.582996332,2.828101816,4.362997617
ITGB5,0.764758627,7.298767412,3.144215071,4.477449578,7.254898032,7.188812011
HADH,4.315664663,4.957377002,6.012154319,5.046139361,3.842852769,5.289044791
LIG1,5.647637528,5.725036579,5.590399291,5.784707499,4.725913571,5.829432856
SUPV3L1,6.161589491,4.622158075,6.045960955,5.246370187,5.192847715,4.731469063
PWP1,4.938704355,5.013548339,4.61311491,5.270172655,6.720140223,5.834650404
RSU1,3.788374198,5.349263405,4.511937418,8.852622247,6.616351284,6.545587558
PDIA5,4.882360673,4.297606251,5.062799204,3.730054684,3.871249223,4.095227924
IFRD2,6.646706803,4.896879935,4.854100781,5.959332327,5.698521527,5.618633578
TARBP1,5.644492654,4.268032017,4.923992429,4.549178233,4.058654438,4.394502752
HEBP1,4.269299591,6.000394292,3.862891957,6.054515994,5.159153165,5.228498676
TOP2A,6.543642853,5.488890744,7.592634747,6.949001518,7.925076225,7.813189277
SLC35A1,3.516729485,4.702248088,3.835007549,4.112081861,3.814582897,4.948464192
USP6NL,0.92033326,3.100523343,4.014906671,3.567150603,3.282582859,3.542243077
GLI2,0.013767419,0.000573105,0.052587878,3.529135745,2.377835406,2.793647949
PTPN6,7.734376367,4.854525974,1.717161212,1.429384763,3.345729513,2.858314345
TEX10,4.004673779,3.509421075,4.703171559,5.225360141,4.924380628,4.500986838
DNAJC15,2.875593537,3.426089672,0.803247028,-0.038177337,-0.121766978,5.341202445
DNM1L,4.315171928,4.518158333,5.219295352,6.036958815,6.016434576,7.462914965
JUN,3.493675424,4.317449171,4.927224422,-0.00787562,3.81649769,7.215569127
DHX29,1.51928931,3.671726393,3.963959144,4.118381842,4.881123115,4.125585047
LOXL1,0.535539511,3.121940733,0.751490475,0.270474873,0.56834006,4.416917259
PLOD3,4.085912134,6.789984745,5.576004334,5.106746414,4.637257684,4.191270155
ELAC2,4.261266758,5.655711943,4.314295558,5.366231721,6.137720104,4.133922088
ACLY,4.272625257,6.220169591,6.643895067,6.881043512,7.788625823,6.751809765
BIRC5,4.971967269,5.351790747,6.166550403,6.064628426,6.27060662,6.210953643
SCAND1,6.258745416,6.487872019,5.083001084,6.063818954,4.189502996,6.851386373
PSMD9,4.639194266,6.507298779,5.968011585,5.67216607,6.173859066,6.26396751
UBE3B,2.313738319,4.109008898,4.001617562,3.186664958,3.502282891,4.608538467
LAMA3,0.041916549,2.971778333,0.066921937,-0.076430827,3.691552217,6.879754821
DECR1,4.4200609,7.007779234,8.003396249,5.372682758,5.966744542,7.06967532
TLE1,0.228473312,5.469060116,0.0415671,2.412195843,5.369139332,6.445062944
SOX4,2.256791436,4.258513795,0.465634864,3.957430177,3.51023119,5.673758273
ZFP36,2.680422723,4.361137809,3.686869938,3.078124792,3.270538047,4.346846493
ATF6,2.969488716,3.664219923,5.15157706,4.269552106,4.429462489,4.920373271
HMOX1,0.966197199,2.20956483,0.302492622,3.862431276,7.970940336,6.329159369
YME1L1,4.105918603,6.455913416,6.443110998,5.950703305,6.627815608,6.33403949
BRCA1,3.425486629,3.472762785,6.050518814,5.148655042,4.952739674,4.891857898
NCK2,3.015501301,3.102375756,4.912692519,4.193132023,3.299585764,5.570786289
IFNAR1,3.045633876,4.215631122,4.375538017,3.918877944,4.35707039,4.222373971
CERK,3.380898321,2.780909811,3.428473236,4.288637417,3.293770074,5.46248622
TCTA,3.003501309,3.820633597,3.445203575,3.456435288,3.846822336,3.656521958
PSMD2,5.166624361,7.732321377,6.9933071,7.842200021,7.654301415,8.189750184
FIS1,5.945830311,7.99573234,6.853791345,5.984866121,6.182581373,5.29211315
CCNA1,0.391280536,0.732383345,0.041298178,0.05412177,0.091878979,5.917438442
STK10,5.241247682,3.798988292,2.11823655,3.430034121,2.78865164,3.238150851
DUSP3,3.688497487,4.150676403,4.145344961,4.116588952,5.267225824,5.576468929
CCNH,4.852982712,5.465222457,6.296855103,5.291480475,5.674431942,5.653723129
TSPAN3,5.356714291,6.087694309,6.192456021,7.075817397,7.945857606,7.665577388
RHEB,5.307263097,6.138800881,7.294312777,6.358537093,6.862193294,6.684336005
TSEN2,3.054100737,3.426916041,3.742377967,3.405669148,3.792422449,3.330745992
PSMD4,7.426501548,8.691166853,7.613746813,8.164653965,7.373259975,8.407294908
UBQLN2,2.020175654,3.385330318,3.329065571,3.870005497,4.253599396,4.479012172
UBE2L6,3.425281605,2.159690143,5.590517817,8.303182183,3.56689843,6.22701978
LSR,-0.125303353,6.889393037,4.772066576,5.270667751,0.698339485,4.960327173
GLOD4,4.347159428,6.170410441,5.478325044,6.590624552,6.37653969,5.40975803
MAT2A,6.914684793,7.231741659,7.587620647,7.206300585,7.776770105,7.619586311
PRAF2,1.901726462,4.450926893,2.790730932,4.739329744,3.595200994,4.693528557
ACAA1,5.28401515,5.561476742,5.159107167,4.103361065,4.790827538,4.455571097
ETS1,0.807269808,0.11624624,1.625007341,0.207537603,4.541120829,5.317992731
SDHB,6.447681646,6.662797083,7.706022393,7.085759055,6.737193664,6.967963323
PECR,-0.013800185,3.230895721,4.985562008,4.507832633,4.117482685,4.507225309
SPTAN1,4.573002896,5.925541648,3.892096028,6.31463093,6.752863137,7.343403124
ASCC3,3.096859614,3.713597545,3.589515025,4.269018591,4.393993353,4.317819762
RFNG,3.509014178,3.658380708,4.45262285,3.78297672,3.215932697,4.531474265
TIAM1,0.008800415,2.678646427,0.112031537,3.101858404,0.124413687,2.15365664
PAK1,3.718519209,2.114200418,1.847860072,4.804807733,4.357360195,4.958793797
RBM34,5.900844818,5.797693689,6.507367854,6.391521755,5.759289464,5.39274493
ARPP19,4.304407884,6.838428529,5.070352841,6.136531983,6.504030944,6.636242283
HSD17B10,6.758208265,7.436572357,6.561767566,7.20823236,7.063726931,7.061919306
RFC5,3.791410946,5.081296869,5.737403223,5.185328926,5.492369847,5.253326878
ZNF318,1.537240427,2.534293551,3.46199942,3.273899088,1.935016393,3.829486488
BLVRA,2.403252312,6.175127015,6.306187175,5.77284929,5.953189094,6.116530576
UBR7,3.824774582,5.059420536,4.852239501,4.539752062,4.368981542,4.753796476
STAP2,-0.04737658,5.874671813,1.186853704,2.508851647,-0.08500117,1.933921286
ATF1,2.732180649,4.408054347,4.597757282,4.480748615,4.770830496,4.721432045
POLG2,4.232401038,5.097596556,5.014899842,4.113801816,4.038231965,3.629100205
TESK1,2.05531327,3.817728804,2.785940053,3.841418783,3.577811978,5.662690485
GRWD1,3.567906148,4.582706856,3.318922464,5.3128919,5.274755151,4.867962842
SCARB1,5.558140559,5.057899092,6.358270793,5.633361276,6.530601144,4.994188918
ECD,3.22443191,4.504942264,4.949126521,4.610357877,4.80126365,4.545285174
RB1,2.194616743,3.349780353,3.96244408,3.386387238,4.124648292,5.241281007
DMTF1,3.742918895,5.045794944,6.180559276,5.238548559,4.801854831,4.620562059
LAP3,5.01942584,5.563132067,5.494940004,6.915139375,4.913355328,6.123086736
FHL2,0.455054322,4.8598162,4.980812585,4.079948352,6.193944174,7.596432443
PLEKHM1,2.64140865,2.702699226,2.885724559,1.935313669,2.645571138,4.15525859
C5,0.137448684,1.132292022,0.787321184,2.711643436,4.987561355,0.584844485
PFKL,5.883358871,7.374393607,6.24828665,5.840340604,3.51326768,6.608977421
CHERP,4.25659555,4.76571256,4.424735589,5.657107722,3.28016669,4.576390928
RAC2,6.924118356,-0.121890635,6.911702841,0.097437257,0.109352196,1.85093966
GTF2A2,6.636397681,6.210552287,6.886389551,6.597650218,7.689737216,6.902973789
MAPKAPK5,4.548210249,4.662857949,4.731298683,5.052155496,4.99245925,4.96848903
INSIG1,3.503857197,6.006419204,7.593858414,4.496947892,4.059818982,4.204299923
AKAP8,3.988526739,3.864510578,3.584874125,4.426571455,3.277318061,4.091667809
ARL4C,2.052790872,1.670633733,0.089354871,2.196998871,4.712790455,5.349138333
HACD3,4.354102396,6.377851516,5.526337749,6.778153683,7.553350719,6.468382742
ZNF274,4.275032634,3.530913739,4.7687686,3.051036282,4.134944327,4.905717079
BHLHE40,2.870074372,4.929704543,6.985906825,3.765340913,5.987745093,6.544004543
HSPD1,8.573890405,8.659464847,8.48503025,9.5163892,9.887873001,8.565964057
SCCPDH,4.558688067,6.224774869,5.601932665,5.527108951,5.619775116,5.049260352
CEBPZ,5.812239901,5.054865118,5.104202439,5.531428469,6.459868709,5.269626725
NIT1,3.559422793,3.765625229,5.632253256,5.647298596,4.813407036,5.577912253
C2CD2L,3.069408243,3.36741059,4.906143574,2.485607554,1.419482965,2.50759904
PCBD1,4.905294141,6.480837725,6.575986344,7.3189486,7.826057247,7.46144825
CCL2,3.780807563,0.072612554,2.222105839,-0.031251308,6.561187218,0.043647245
PTK2,0.589274647,5.930780308,5.689428115,6.190728447,6.239621686,5.93789062
ADH5,5.328790981,6.213096927,7.347730376,7.082443994,6.693402717,8.442013149
REEP5,4.197353646,7.509774495,5.025052607,5.786024823,6.791972955,6.979218262
RBKS,0.71626934,2.820275945,0.80644259,1.720107407,3.140925138,3.341932131
MKNK1,3.984121463,4.039048118,4.665562222,3.532354907,3.632761733,4.15197426
CCNE2,1.042322582,4.342905272,3.333478284,2.774595174,2.24762452,3.596020664
COL1A1,0.486358175,3.186309081,0.678208364,3.640487665,2.932713161,6.183806874
DDX10,5.133764594,3.236118234,4.336286949,4.646317299,5.870193407,4.071432147
IARS2,4.33627024,6.319400862,6.022068422,7.203509146,6.990903345,6.140918943
SERPINE1,1.920646178,0.699369131,1.518396205,0.699369131,8.962392472,6.071423208
DHRS7,5.10559757,5.987610323,5.031715413,4.570462198,6.493438839,6.461398645
TP53BP2,3.920276332,3.217085873,4.623577031,4.730824647,3.955443966,4.939867243
STMN1,9.902522636,7.31332781,9.916002627,8.173886431,7.360610431,9.007632386
FGFR4,-0.084495238,2.974911171,3.693522786,4.213480492,3.952844566,4.528204663
RNF167,5.7877403,6.709274292,5.299974603,6.153056263,6.151507286,5.390108766
RAI14,0.487761021,1.621747424,4.349233483,3.732886063,6.136006612,6.680265717
S100A13,2.970763725,10.15035633,7.086404139,8.919026256,7.555031077,9.828767911
DUSP14,2.558093746,3.978975428,4.006196977,4.279048558,4.962625003,5.049129427
SFN,-0.224357684,5.556071133,0.749028739,0.365545088,6.213951122,6.625774751
EGF,0.005432398,1.048707834,1.443386696,0.031713144,0.657633597,0.132055941
KDM3A,3.616279677,3.323487546,4.708784179,4.51612782,4.096058273,4.377348285
SYK,3.994663446,1.807538606,3.820115421,-0.091625845,-0.091625845,2.465951784
NR2F6,2.44709101,3.294898237,4.043781203,5.76118844,3.341739894,4.839685788
CNOT4,2.164974842,3.193959545,3.538942694,3.248233465,3.204276004,2.872424537
MAP7,0.283542881,4.61262409,3.043342395,-0.123793216,5.331206628,1.662644378
PSRC1,2.04301308,4.551956417,5.328319722,5.573779179,3.347926744,5.386155279
PAN2,3.702384561,5.18705223,5.920905727,3.798495981,3.224609627,4.680484683
HOMER2,0.073553762,5.416299654,0.476542786,4.298317695,3.022408968,5.392694626
HMGCR,1.920150054,5.713704347,5.996110121,5.587200283,4.727983755,5.912372906
CETN3,3.421845544,4.898936427,6.261619281,5.374873323,4.917485519,5.6280045
CBR1,4.241534119,5.800819048,3.612358423,0.927406559,6.867278061,8.227099935
ARID4B,2.641877528,3.808214095,3.614208905,4.029599618,3.780574145,4.077209896
TBX2,0.010583836,5.318394832,0.010583836,7.066400841,0.832890583,0.565948179
CLIC4,2.46264413,5.979497538,6.619179312,6.957357541,5.943861228,7.251999562
GOLT1B,3.5394792,4.302770225,5.173158753,4.344743443,6.119621565,4.654265598
RAB11FIP2,1.860397671,1.876012132,2.640683481,2.685596617,3.072457977,4.116195934
SPAG7,4.841770133,6.480978763,5.592991221,7.169236757,5.748772601,5.706367587
SCRN1,0.354689445,5.50175658,0.354689445,5.482232303,4.999514823,5.043744679
WASF3,0.121328291,1.590031811,0.411404506,4.474896019,0.316941237,3.507005061
ISOC1,1.589778858,6.852024402,4.704679518,3.745421063,4.015476558,4.49390041
PNKP,3.967284286,5.825736927,5.143148292,5.85663623,4.088688304,5.190707094
KAT6A,1.705390032,2.663380376,3.491327205,3.969156125,2.99923684,3.939890955
YKT6,4.960186045,5.631644491,5.758026912,5.5393934,6.1408798,5.127789363
RNMT,4.705913766,3.460152227,4.840013119,4.266949336,3.726052668,4.236229131
NRIP1,1.362227964,3.899042035,2.703453461,1.941308349,3.875069089,4.070284661
PRCP,5.638548968,5.122394888,5.745119732,5.668755844,6.566458684,6.484804528
CREG1,5.952470783,4.681918001,7.826424585,4.944418201,5.830523282,6.187216613
CTSL,1.310510815,6.973752769,7.458877746,5.033689575,8.724351156,8.100216758
RRS1,5.635412223,5.962948775,3.605923799,5.49144511,5.816467865,4.84547865
CCND1,2.879354745,7.668665861,0.939902929,6.144839642,6.354547997,6.899276687
PDHX,3.615400657,4.550827048,4.853537794,4.546206685,4.887619431,5.03080354
TRAK2,1.134213938,4.311246947,4.145017574,2.643874992,3.443616004,4.455476928
TOR1A,4.986710763,5.250406797,5.327547494,5.538610805,5.45521535,5.581520627
PHKB,4.273500723,3.5523602,5.612995693,3.823796926,5.225904492,5.326752407
HIF1A,2.27620523,5.959351581,3.730110533,5.850257528,7.294311838,8.762490029
AURKB,4.593561938,6.293419605,6.725077656,7.041867261,6.465714866,5.660993002
BLMH,5.436863659,3.694007178,6.422364896,5.972665832,5.624764881,6.443922632
ASAH1,5.394330182,6.211808908,7.057410782,5.459530027,6.066611551,7.397581804
NUP133,4.508612337,3.752045027,4.896068546,5.30993641,4.436410631,4.063735883
PLEKHJ1,5.989569814,4.799969628,6.37457165,5.771177698,4.167115756,5.545924691
